name,cgpa
aaa,6.250000
aab,6.560000
aac,9.730000
aad,9.500000
aae,5.920000
aaf,6.050000
aag,9.310000
aah,9.080000
aai,8.450000
aaj,5.670000
aak,5.830000
aal,8.360000
aam,7.780000
aan,8.820000
aao,9.820000
aap,9.730000
aaq,7.160000
aar,7.730000
aas,8.200000
aat,9.250000
aau,5.570000
aav,6.370000
aaw,9.290000
aax,7.850000
aay,6.220000
aaz,8.980000
aba,7.380000
abb,9.570000
abc,9.510000
abd,8.810000
abe,9.330000
abf,8.920000
abg,7.070000
abh,9.930000
abi,7.490000
abj,9.250000
abk,7.450000
abl,9.530000
abm,5.990000
abn,5.660000
abo,9.890000
abp,9.130000
abq,6.850000
abr,7.990000
abs,7.220000
abt,7.910000
abu,7.140000
abv,8.120000
abw,8.140000
abx,8.100000
aby,5.730000
abz,5.430000
aca,5.590000
acb,5.070000
acc,7.820000
acd,6.190000
ace,7.740000
acf,9.500000
acg,6.650000
ach,5.550000
aci,9.870000
acj,9.590000
ack,6.880000
acl,5.670000
acm,8.760000
acn,8.220000
aco,5.300000
acp,7.430000
acq,5.060000
acr,7.800000
acs,9.070000
act,9.110000
acu,8.960000
acv,9.450000
acw,6.410000
acx,9.450000
acy,6.920000
acz,8.160000
ada,7.000000
adb,8.710000
adc,5.030000
add,5.710000
ade,9.190000
adf,8.190000
adg,8.760000
adh,6.020000
adi,6.000000
adj,6.780000
adk,8.760000
adl,6.760000
adm,6.850000
adn,7.350000
ado,7.370000
adp,7.940000
adq,9.720000
adr,6.620000
ads,9.380000
adt,6.630000
adu,6.860000
adv,6.810000
adw,5.920000
adx,7.960000
ady,6.020000
adz,7.500000
aea,5.700000
aeb,6.710000
aec,7.740000
aed,8.840000
aee,9.990000
aef,7.810000
aeg,6.100000
aeh,9.890000
aei,8.730000
aej,7.980000
aek,9.150000
ael,6.490000
aem,8.080000
aen,9.170000
aeo,8.420000
aep,5.020000
aeq,8.720000
aer,9.340000
aes,6.170000
aet,8.240000
aeu,8.410000
aev,7.820000
aew,8.630000
aex,8.570000
aey,9.450000
aez,9.810000
afa,7.410000
afb,7.150000
afc,5.700000
afd,7.660000
afe,6.110000
aff,5.160000
afg,8.150000
afh,5.450000
afi,5.550000
afj,7.510000
afk,7.920000
afl,9.360000
afm,5.230000
afn,9.970000
afo,6.460000
afp,8.490000
afq,7.910000
afr,8.880000
afs,9.560000
aft,6.420000
afu,7.060000
afv,9.930000
afw,5.600000
afx,8.330000
afy,5.550000
afz,5.450000
aga,9.620000
agb,8.080000
agc,5.770000
agd,8.410000
age,8.510000
agf,6.580000
agg,9.180000
agh,6.710000
agi,8.020000
agj,8.410000
agk,7.270000
agl,7.070000
agm,8.690000
agn,9.740000
ago,7.270000
agp,5.880000
agq,5.080000
agr,8.750000
ags,5.530000
agt,7.450000
agu,7.840000
agv,8.320000
agw,8.840000
agx,8.980000
agy,5.360000
agz,6.440000
aha,9.780000
ahb,9.170000
ahc,6.620000
ahd,8.380000
ahe,7.010000
ahf,5.710000
ahg,6.710000
ahh,9.020000
ahi,5.040000
ahj,6.850000
ahk,7.850000
ahl,8.880000
ahm,8.190000
ahn,9.820000
aho,8.080000
ahp,9.060000
ahq,7.390000
ahr,8.180000
ahs,6.290000
aht,5.660000
ahu,5.980000
ahv,5.310000
ahw,8.050000
ahx,9.660000
ahy,5.320000
ahz,6.230000
aia,7.090000
aib,8.040000
aic,7.900000
aid,6.270000
aie,6.260000
aif,5.340000
aig,7.230000
aih,8.020000
aii,5.980000
aij,9.680000
aik,5.590000
ail,7.480000
aim,7.480000
ain,6.220000
aio,5.240000
aip,8.100000
aiq,5.920000
air,9.760000
ais,5.960000
ait,5.420000
aiu,9.790000
